iter	Passed	Remaining
0	156	156052
1	156	78312
2	157	52409
3	158	39413
4	158	31616
5	159	26407
6	160	22804
7	162	20168
8	164	18151
9	166	16501
10	170	15326
11	174	14386
12	177	13496
13	179	12611
14	181	11893
15	183	11302
16	186	10793
17	188	10265
18	190	9822
19	192	9445
20	194	9056
21	194	8658
22	195	8317
23	197	8043
24	199	7791
25	201	7551
26	203	7321
27	205	7124
28	206	6930
29	209	6757
30	211	6617
31	213	6458
32	215	6307
33	217	6171
34	218	6031
35	220	5893
36	221	5764
37	222	5643
38	224	5521
39	225	5409
40	226	5296
41	226	5177
42	227	5063
43	228	4956
44	229	4861
45	230	4772
46	231	4687
47	232	4602
48	233	4529
49	234	4451
50	235	4375
51	235	4299
52	236	4226
53	237	4155
54	237	4088
55	238	4027
56	239	3967
57	240	3905
58	241	3845
59	241	3787
60	242	3732
61	243	3677
62	243	3625
63	244	3574
64	244	3524
65	245	3476
66	246	3428
67	246	3382
68	247	3337
69	247	3293
70	248	3250
71	248	3208
72	249	3168
73	250	3129
74	250	3090
75	251	3053
76	251	3019
77	252	2984
78	252	2949
79	253	2914
80	253	2880
81	254	2847
82	254	2813
83	255	2781
84	255	2751
85	256	2721
86	256	2691
87	256	2662
88	257	2634
89	257	2608
90	258	2581
91	258	2555
92	259	2530
93	259	2505
94	260	2481
95	260	2457
96	261	2434
97	261	2411
98	262	2388
99	262	2366
100	263	2345
101	264	2324
102	264	2306
103	265	2287
104	266	2267
105	266	2248
106	267	2229
107	267	2210
108	268	2191
109	268	2173
110	269	2155
111	269	2137
112	270	2120
113	270	2104
114	271	2088
115	271	2071
116	272	2054
117	272	2038
118	273	2022
119	273	2007
120	274	1991
121	274	1976
122	275	1961
123	275	1947
124	276	1932
125	276	1918
126	276	1904
127	277	1890
128	278	1877
129	278	1863
130	279	1850
131	279	1838
132	280	1825
133	280	1813
134	281	1801
135	281	1789
136	282	1777
137	282	1765
138	283	1754
139	283	1743
140	284	1732
141	284	1720
142	285	1709
143	285	1698
144	286	1687
145	286	1676
146	287	1666
147	287	1656
148	288	1645
149	288	1635
150	289	1625
151	289	1616
152	290	1607
153	290	1597
154	291	1588
155	291	1578
156	292	1569
157	292	1560
158	293	1551
159	293	1542
160	294	1532
161	294	1525
162	295	1517
163	296	1510
164	296	1502
165	297	1495
166	298	1488
167	298	1480
168	299	1472
169	300	1466
170	300	1459
171	301	1451
172	302	1444
173	302	1437
174	303	1431
175	304	1424
176	304	1417
177	305	1412
178	306	1405
179	306	1398
180	307	1391
181	307	1383
182	308	1377
183	309	1371
184	309	1364
185	310	1357
186	310	1351
187	311	1344
188	311	1338
189	312	1331
190	312	1325
191	313	1319
192	314	1313
193	314	1307
194	315	1301
195	315	1295
196	316	1289
197	316	1283
198	317	1278
199	318	1272
200	318	1266
201	319	1260
202	319	1254
203	320	1248
204	320	1243
205	321	1237
206	321	1232
207	322	1226
208	322	1221
209	323	1216
210	324	1211
211	324	1206
212	325	1201
213	325	1196
214	326	1190
215	326	1185
216	327	1180
217	328	1177
218	328	1173
219	329	1168
220	329	1163
221	330	1158
222	331	1153
223	331	1148
224	332	1144
225	332	1139
226	333	1134
227	334	1131
228	334	1126
229	335	1121
230	335	1117
231	336	1113
232	336	1109
233	337	1105
234	338	1100
235	338	1096
236	339	1092
237	339	1087
238	340	1083
239	340	1079
240	341	1075
241	341	1070
242	342	1066
243	342	1062
244	343	1058
245	344	1054
246	344	1050
247	345	1046
248	345	1042
249	346	1038
250	346	1034
251	347	1030
252	347	1027
253	348	1023
254	348	1019
255	349	1015
256	349	1011
257	350	1007
258	350	1003
259	351	1000
260	351	996
261	352	992
262	353	989
263	353	985
264	354	982
265	354	978
266	355	975
267	355	971
268	356	968
269	356	964
270	357	961
271	357	957
272	358	954
273	358	950
274	359	948
275	360	945
276	361	942
277	361	938
278	362	935
279	362	932
280	363	929
281	363	926
282	364	923
283	364	919
284	365	916
285	366	913
286	366	910
287	367	907
288	367	904
289	368	901
290	368	898
291	369	895
292	369	892
293	370	889
294	370	886
295	371	883
296	372	880
297	372	877
298	373	874
299	373	872
300	374	869
301	375	867
302	375	864
303	376	861
304	376	858
305	377	855
306	377	852
307	378	850
308	378	847
309	379	844
310	379	841
311	380	838
312	380	836
313	381	833
314	381	830
315	382	827
316	382	824
317	383	822
318	383	819
319	384	816
320	384	814
321	385	811
322	386	809
323	386	806
324	387	804
325	387	801
326	388	799
327	388	796
328	389	794
329	390	791
330	390	789
331	391	786
332	391	784
333	392	781
334	392	779
335	393	777
336	393	774
337	394	772
338	394	769
339	395	767
340	395	764
341	396	762
342	396	760
343	397	758
344	398	755
345	398	753
346	399	751
347	399	748
348	400	746
349	400	743
350	401	741
351	401	739
352	402	736
353	402	734
354	403	732
355	403	730
356	404	727
357	404	725
358	405	723
359	405	721
360	406	718
361	406	716
362	407	714
363	407	711
364	407	709
365	408	707
366	408	705
367	409	703
368	410	701
369	410	698
370	410	696
371	411	694
372	411	692
373	412	690
374	412	687
375	413	685
376	413	683
377	414	681
378	414	679
379	415	677
380	415	675
381	416	673
382	416	671
383	417	669
384	417	667
385	418	665
386	418	663
387	419	660
388	419	658
389	420	656
390	420	654
391	420	652
392	421	650
393	422	649
394	422	647
395	423	645
396	423	643
397	424	642
398	424	640
399	425	638
400	426	636
401	426	634
402	426	632
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	619
410	431	618
411	431	616
412	432	614
413	432	612
414	433	610
415	433	608
416	434	607
417	434	605
418	435	603
419	435	601
420	436	600
421	436	598
422	437	596
423	437	594
424	438	592
425	438	590
426	438	589
427	439	587
428	439	585
429	440	583
430	440	582
431	441	580
432	441	578
433	442	577
434	442	575
435	443	573
436	443	571
437	444	570
438	444	568
439	445	566
440	445	565
441	446	563
442	446	561
443	447	560
444	447	558
445	448	556
446	448	555
447	449	553
448	449	551
449	450	550
450	450	548
451	451	546
452	451	545
453	452	543
454	452	542
455	453	540
456	453	538
457	454	537
458	454	535
459	455	534
460	455	532
461	456	531
462	456	529
463	457	528
464	457	526
465	458	525
466	458	523
467	459	522
468	460	520
469	460	519
470	461	517
471	461	516
472	462	514
473	462	513
474	463	511
475	463	510
476	464	508
477	464	507
478	465	506
479	465	504
480	466	503
481	466	501
482	467	500
483	467	498
484	468	497
485	468	495
486	469	494
487	469	492
488	470	491
489	470	489
490	471	488
491	471	486
492	472	485
493	472	484
494	473	482
495	473	481
496	474	480
497	474	478
498	475	477
499	475	475
500	476	474
501	476	472
502	477	471
503	477	469
504	477	468
505	478	467
506	478	465
507	479	464
508	479	462
509	480	461
510	480	460
511	481	458
512	481	457
513	482	456
514	482	454
515	483	453
516	483	451
517	484	450
518	484	449
519	484	447
520	485	446
521	486	445
522	486	443
523	487	442
524	487	441
525	488	439
526	488	438
527	489	437
528	489	435
529	490	434
530	490	433
531	491	431
532	491	430
533	492	429
534	492	428
535	493	426
536	493	425
537	494	424
538	494	422
539	494	421
540	495	420
541	495	418
542	496	417
543	496	416
544	497	415
545	497	413
546	498	412
547	498	411
548	499	410
549	499	409
550	500	407
551	500	406
552	501	405
553	501	404
554	502	402
555	502	401
556	503	400
557	503	399
558	504	397
559	504	396
560	505	395
561	505	394
562	506	393
563	506	391
564	507	390
565	507	389
566	508	388
567	508	386
568	509	385
569	509	384
570	510	383
571	510	382
572	511	381
573	511	379
574	512	378
575	512	377
576	513	376
577	513	375
578	514	373
579	514	372
580	515	371
581	515	370
582	516	369
583	516	368
584	517	366
585	517	365
586	518	364
587	518	363
588	519	362
589	519	361
590	520	359
591	520	358
592	521	357
593	521	356
594	521	355
595	522	354
596	522	352
597	523	351
598	524	350
599	524	349
600	525	348
601	525	347
602	526	346
603	526	345
604	526	344
605	527	342
